gene_id,total_peaks,disrupted_peaks,intact_peaks,fraction_disrupted,n_bqtl,mean_peak_breadth,abs_log2_ase,expression,drought_fc,annotation
Zm00001eb001400,1,1,0,1.0,1,25.0,0.1431935469241601,603.3,0.308,
Zm00001eb001420,2,1,1,0.5,2,14.0,,,,
Zm00001eb001430,1,1,0,1.0,2,25.0,0.1834233646252035,162.6,0.603,
Zm00001eb001440,1,0,1,0.0,0,17.0,0.5933832473624303,6.5,1.038,
Zm00001eb001460,2,1,1,0.5,1,13.5,0.7432537167002196,59.5,-0.336,
Zm00001eb001470,2,1,1,0.5,1,14.0,0.8428071237954106,85.8,-0.037,
Zm00001eb001480,1,0,1,0.0,0,1.0,,,,
Zm00001eb001490,3,2,1,0.6666666666666666,2,10.666666666666666,0.63840514011792,388.3,-0.392,
Zm00001eb001500,2,2,0,1.0,4,23.0,1.9574176965395047,18.0,-1.2,
Zm00001eb001510,1,1,0,1.0,3,25.0,0.6239666701256044,28.5,-0.715,
Zm00001eb001520,4,1,3,0.25,2,11.0,1.2191468001604615,23.4,-0.456,
Zm00001eb001530,1,1,0,1.0,1,22.0,1.437275352050719,382.5,0.686,
Zm00001eb001550,4,0,4,0.0,0,14.0,0.2876486669413154,20.7,0.297,
Zm00001eb001560,1,0,1,0.0,0,7.0,0.8736963826935699,244.0,0.176,
Zm00001eb001570,1,1,0,1.0,2,25.0,0.39296107893396,685.2,-0.15,
Zm00001eb001590,1,1,0,1.0,1,25.0,0.7594372875938836,85.9,0.219,
Zm00001eb001600,2,2,0,1.0,7,24.0,0.6341793064538735,50.5,0.549,
Zm00001eb001620,1,1,0,1.0,1,22.0,,,,
Zm00001eb001630,2,0,2,0.0,0,4.5,1.729815749951356,1.5,-0.609,
Zm00001eb001640,1,1,0,1.0,1,25.0,0.2515049526723988,684.6,-1.315,
Zm00001eb001650,2,1,1,0.5,1,21.5,0.1735895806179812,1224.9,-1.253,
Zm00001eb001670,1,0,1,0.0,0,25.0,0.3373425107040344,68.6,-0.388,
Zm00001eb001680,3,2,1,0.6666666666666666,7,23.0,0.3073055196615811,1400.4,0.01,
Zm00001eb001690,1,0,1,0.0,0,2.0,0.0,,,
Zm00001eb001700,2,1,1,0.5,1,4.0,0.7149368687917177,88.8,0.943,
Zm00001eb001710,2,1,1,0.5,1,13.0,0.2668535345365788,131.1,0.249,
Zm00001eb001720,3,1,2,0.3333333333333333,4,9.666666666666666,0.3100297128357629,178.5,1.586,
Zm00001eb001740,1,1,0,1.0,1,21.0,,,,
Zm00001eb001760,1,1,0,1.0,1,25.0,0.4762779179625224,157.8,0.156,
Zm00001eb001770,1,1,0,1.0,3,25.0,0.2667156249615414,2569.5,-0.126,
Zm00001eb001780,2,0,2,0.0,0,13.0,0.3689358949623963,412.4,1.226,
Zm00001eb001790,2,0,2,0.0,0,1.0,,,,
Zm00001eb001800,2,0,2,0.0,0,1.0,,,,
Zm00001eb001810,2,1,1,0.5,2,14.0,0.9005067101265379,302.2,1.003,
Zm00001eb001820,3,1,2,0.3333333333333333,5,23.333333333333332,2.3588212522757694,7.5,-0.88,
Zm00001eb001830,2,2,0,1.0,5,23.0,1.0033749067322242,36.3,2.139,
Zm00001eb001840,2,1,1,0.5,1,13.5,0.2114002190279094,3702.2,-0.576,
Zm00001eb001860,3,0,3,0.0,0,9.666666666666666,0.2250282378966639,138.9,0.974,
Zm00001eb001870,3,0,3,0.0,0,9.666666666666666,0.4546555544804762,106.3,-0.046,
Zm00001eb001880,4,4,0,1.0,4,12.0,0.3531285956136831,262.2,-0.095,
Zm00001eb001890,1,0,1,0.0,0,25.0,1.8567129610876807,401.0,-0.26,
Zm00001eb001900,4,0,4,0.0,0,14.25,0.3809445692520206,141.5,0.652,
Zm00001eb001910,3,0,3,0.0,0,8.0,0.4606960948046799,184.3,-0.427,
Zm00001eb001920,4,1,3,0.25,2,6.0,1.061087744900388,2.0,0.187,
Zm00001eb001940,1,0,1,0.0,0,25.0,0.55052149780737,4939.1,0.901,
Zm00001eb001950,2,2,0,1.0,5,15.5,0.3473060310158732,10028.7,-1.863,
Zm00001eb001960,2,2,0,1.0,7,14.0,5.352279002000969,1.9,-0.462,
Zm00001eb001970,2,1,1,0.5,3,24.0,0.4007751167765972,254.2,-0.76,
Zm00001eb001980,2,2,0,1.0,2,12.5,0.2457783745199328,62.3,0.319,
Zm00001eb001990,1,0,1,0.0,0,3.0,,,,
Zm00001eb002000,2,0,2,0.0,0,12.0,0.3568730908199175,151.4,0.014,
Zm00001eb002010,2,2,0,1.0,5,20.0,0.7937271107967065,11.1,0.181,
Zm00001eb002020,1,0,1,0.0,0,23.0,0.6255279952526189,92.0,0.529,
Zm00001eb002030,3,0,3,0.0,0,9.0,0.410632589020474,7.5,2.26,
Zm00001eb002040,1,1,0,1.0,4,25.0,0.2037567856288001,30.3,0.694,
Zm00001eb002060,1,1,0,1.0,1,25.0,0.7136334083527899,1916.9,1.322,
Zm00001eb002070,2,1,1,0.5,1,10.0,0.5166844238717285,146.7,0.488,
Zm00001eb002080,3,2,1,0.6666666666666666,2,12.333333333333334,,,,
Zm00001eb002090,2,1,1,0.5,1,13.0,0.4052930581674369,99.6,-1.893,
Zm00001eb002100,3,1,2,0.3333333333333333,1,13.333333333333334,0.9194148145693304,276.0,-0.272,
Zm00001eb002170,1,1,0,1.0,1,25.0,0.5112550435978297,54.7,1.145,
Zm00001eb002180,4,1,3,0.25,2,8.25,0.3997707901096527,888.9,1.002,
Zm00001eb002190,1,1,0,1.0,1,25.0,0.557315911254716,782.0,-2.872,
Zm00001eb002200,2,1,1,0.5,1,22.5,1.549855175325814,154.1,1.034,
Zm00001eb002210,2,1,1,0.5,8,13.0,,,,
Zm00001eb002220,2,0,2,0.0,0,10.0,0.1805899778167757,454.2,1.269,
Zm00001eb002240,3,0,3,0.0,0,5.666666666666667,0.6658599355116573,15.7,-0.798,
Zm00001eb002250,1,1,0,1.0,3,24.0,0.6124498040556778,1125.2,-0.566,
Zm00001eb002260,1,1,0,1.0,2,25.0,0.6351043780581042,730.9,-0.005,
Zm00001eb002270,1,1,0,1.0,1,25.0,0.2821558941112081,54152.3,-2.037,
Zm00001eb002280,2,2,0,1.0,16,25.0,1.160632791736555,4.7,-2.473,
Zm00001eb002300,1,0,1,0.0,0,3.0,,,,
Zm00001eb002320,1,1,0,1.0,2,25.0,0.2636509443452972,934.4,0.342,
Zm00001eb002350,1,1,0,1.0,1,4.0,,,,
Zm00001eb002380,1,1,0,1.0,1,25.0,0.5666621211457112,705.4,-1.819,
Zm00001eb002390,1,0,1,0.0,0,13.0,2.9981142492147614,5.7,-0.457,
Zm00001eb002410,4,1,3,0.25,1,10.25,1.9068905956085185,15.0,-0.181,
Zm00001eb002420,2,1,1,0.5,1,13.5,0.2065382943478489,503.6,0.452,
Zm00001eb002430,1,1,0,1.0,2,20.0,0.1550614243875153,533.3,0.542,
Zm00001eb002440,6,1,5,0.16666666666666666,2,5.333333333333333,0.5788752331275567,13.2,0.405,
Zm00001eb002460,3,1,2,0.3333333333333333,1,9.0,0.2196501210603012,213.2,0.853,
Zm00001eb002470,2,1,1,0.5,7,13.0,0.5045790150011731,62.8,-0.843,
Zm00001eb002480,1,1,0,1.0,3,17.0,1.2161495374498672,137.4,1.043,
Zm00001eb002490,1,0,1,0.0,0,25.0,0.2034117544150265,696.4,-0.342,
Zm00001eb002510,2,2,0,1.0,7,25.0,0.3077406050623076,5027.8,-0.232,
Zm00001eb002530,3,1,2,0.3333333333333333,2,11.666666666666666,0.1730711264669039,352.4,0.384,
Zm00001eb002540,1,0,1,0.0,0,24.0,0.5665348150078315,55.1,0.508,
Zm00001eb002550,2,0,2,0.0,0,10.5,0.7652302336478818,138.9,-0.372,
Zm00001eb002560,2,1,1,0.5,3,13.0,0.3321410942314302,566.0,0.467,
Zm00001eb002570,1,1,0,1.0,2,25.0,0.7453594962104523,267.0,1.285,
Zm00001eb002590,2,2,0,1.0,5,24.5,5.6319336066490795,10.2,2.106,
Zm00001eb002600,1,0,1,0.0,0,16.0,,5.5,0.829,
Zm00001eb002610,2,0,2,0.0,0,16.5,0.4516361310966898,211.3,-0.071,
Zm00001eb002620,2,1,1,0.5,3,21.5,1.3104304847075858,516.0,-0.821,
Zm00001eb002640,1,1,0,1.0,1,25.0,0.8175649105962708,150.5,0.396,
Zm00001eb002650,2,1,1,0.5,1,16.0,,,,
Zm00001eb002660,1,0,1,0.0,0,25.0,1.0117179662777953,99.1,0.657,
Zm00001eb002680,2,0,2,0.0,0,12.5,0.6211105033348753,76.1,1.037,
Zm00001eb002690,3,1,2,0.3333333333333333,1,14.0,0.7197895663531898,841.6,0.26,
Zm00001eb002700,1,0,1,0.0,0,9.0,0.9396168536318112,6.6,2.329,
Zm00001eb002710,2,1,1,0.5,2,13.5,,,,
Zm00001eb002720,1,0,1,0.0,0,1.0,,0.9,0.72,
Zm00001eb002740,2,2,0,1.0,3,17.5,0.1947359444227394,156.4,-1.125,
Zm00001eb002760,3,0,3,0.0,0,11.0,1.1662325225846355,34.5,-2.419,
Zm00001eb002780,2,0,2,0.0,0,2.0,0.5522238911749966,5.9,-0.956,
Zm00001eb002800,3,0,3,0.0,0,6.666666666666667,0.6524992024797223,5.3,-1.195,
Zm00001eb002810,2,0,2,0.0,0,11.5,0.7044481170710338,311.5,0.168,
Zm00001eb002820,2,0,2,0.0,0,13.0,0.7571500730748879,75.8,0.069,
Zm00001eb002830,2,1,1,0.5,1,17.5,1.3704537029825683,2.7,1.699,
Zm00001eb002840,1,1,0,1.0,6,25.0,5.868408161882713,4.2,-0.04,
Zm00001eb002850,1,1,0,1.0,6,25.0,0.7992643347313075,455.5,0.842,
Zm00001eb002860,3,1,2,0.3333333333333333,1,15.666666666666666,,,,
Zm00001eb002870,1,1,0,1.0,1,25.0,0.913395474958571,167.4,0.768,
Zm00001eb002920,1,0,1,0.0,0,17.0,0.436313432271534,19.5,0.739,
Zm00001eb002930,3,1,2,0.3333333333333333,2,13.0,0.1890538113356594,177.4,-0.089,
Zm00001eb002940,4,1,3,0.25,2,3.0,0.3758346853492387,237.7,0.52,
Zm00001eb002950,2,0,2,0.0,0,21.5,1.3977949169794877,356.1,1.534,
Zm00001eb002960,3,1,2,0.3333333333333333,1,9.0,0.3042629602998878,499.1,0.298,
Zm00001eb002980,1,0,1,0.0,0,1.0,,,,
Zm00001eb002990,2,1,1,0.5,5,25.0,,,,
Zm00001eb003000,2,1,1,0.5,1,14.5,0.1729718027169481,257.2,0.492,
Zm00001eb003010,3,1,2,0.3333333333333333,1,17.0,0.1154004194016861,604.2,0.089,
Zm00001eb003020,1,0,1,0.0,0,24.0,0.3839535258220886,177.6,0.919,
Zm00001eb003030,1,0,1,0.0,0,25.0,0.3314724642605522,117.9,-0.246,
Zm00001eb003050,2,0,2,0.0,0,1.5,,,,
Zm00001eb003080,4,0,4,0.0,0,5.75,0.1196250131134741,455.1,-0.254,
Zm00001eb003090,3,0,3,0.0,0,10.666666666666666,1.0280162318202328,20.2,1.874,
Zm00001eb003110,3,0,3,0.0,0,9.333333333333334,0.8550232453721163,15.2,1.03,
Zm00001eb003120,1,1,0,1.0,2,3.0,,,,
Zm00001eb003130,2,1,1,0.5,2,13.5,0.1867754670817306,204.6,0.17,
Zm00001eb003140,1,1,0,1.0,1,20.0,0.7030565945230753,42.5,3.474,
Zm00001eb003150,2,1,1,0.5,1,14.0,1.471689981720268,12.9,2.96,
Zm00001eb003170,1,1,0,1.0,1,25.0,2.0633428597506,568.1,1.033,
Zm00001eb003180,3,0,3,0.0,0,9.0,0.5394984916230697,1586.8,0.957,
Zm00001eb003190,3,3,0,1.0,4,11.666666666666666,0.5398940858921936,940.4,1.136,
Zm00001eb003200,3,3,0,1.0,5,12.0,0.3369955894945794,119.3,-1.544,
Zm00001eb003210,2,1,1,0.5,2,13.0,,,,
Zm00001eb003220,1,1,0,1.0,1,25.0,3.2797720944413915,21.7,2.909,
Zm00001eb003230,2,1,1,0.5,3,13.0,0.340699713928789,401.9,2.645,
Zm00001eb003240,2,1,1,0.5,1,25.0,0.3731663224809565,745.6,0.072,
Zm00001eb003300,3,0,3,0.0,0,3.0,,,,
Zm00001eb003310,1,1,0,1.0,2,20.0,,,,
Zm00001eb003330,3,1,2,0.3333333333333333,4,9.666666666666666,0.6266821642634555,17.9,1.027,
Zm00001eb003340,1,1,0,1.0,4,25.0,0.5391555780235436,16.9,1.01,
Zm00001eb003350,2,1,1,0.5,1,23.5,0.1648778613390887,270.6,0.282,
Zm00001eb003360,2,0,2,0.0,0,13.0,0.3672341102134234,2097.6,-0.029,
Zm00001eb003370,1,0,1,0.0,0,2.0,,,,
Zm00001eb003390,2,0,2,0.0,0,5.5,,,,
Zm00001eb003400,2,1,1,0.5,1,15.0,0.2119992266387375,2.0,0.845,
Zm00001eb003420,2,1,1,0.5,2,13.5,0.4953781867454768,167.9,0.61,
Zm00001eb003440,2,2,0,1.0,4,25.0,0.3024280881084595,3285.1,2.464,
Zm00001eb003450,2,0,2,0.0,0,13.5,1.3292381512543987,35.5,-0.711,
Zm00001eb003460,1,1,0,1.0,1,25.0,1.0882036117716472,34.2,-0.76,
Zm00001eb003470,2,1,1,0.5,1,8.0,0.7935491225325735,1.9,-0.248,
Zm00001eb003480,2,1,1,0.5,5,13.0,0.1930746655569345,1455.0,0.497,
Zm00001eb003490,2,2,0,1.0,5,25.0,0.2763834711436068,1613.8,1.228,
Zm00001eb003510,3,0,3,0.0,0,9.333333333333334,0.2195046555850781,216.8,0.803,
Zm00001eb003520,2,0,2,0.0,0,18.0,,,,
Zm00001eb003530,1,0,1,0.0,0,7.0,,,,
Zm00001eb003540,2,1,1,0.5,1,13.0,0.6967863549121285,1160.5,1.412,
Zm00001eb003550,1,1,0,1.0,1,25.0,0.4353664275678527,129.8,-0.15,
Zm00001eb003560,5,0,5,0.0,0,1.6,,,,
Zm00001eb003580,1,0,1,0.0,0,1.0,1.2385637631946822,23.3,1.349,
Zm00001eb003590,3,1,2,0.3333333333333333,1,7.333333333333333,1.292481250360578,6.8,0.108,
Zm00001eb003600,3,0,3,0.0,0,2.0,,,,
Zm00001eb003610,1,0,1,0.0,0,1.0,,,,
Zm00001eb003630,1,0,1,0.0,0,4.0,,,,
Zm00001eb003650,3,3,0,1.0,3,22.666666666666668,0.7605587639635699,115.4,2.535,
Zm00001eb003660,3,0,3,0.0,0,2.0,,2.1,1.874,
Zm00001eb003670,3,1,2,0.3333333333333333,1,11.0,0.2344364112492229,84.2,0.732,
Zm00001eb003680,3,0,3,0.0,0,2.6666666666666665,,,,
Zm00001eb003690,1,0,1,0.0,0,25.0,0.289187292874958,166.2,0.871,
Zm00001eb003700,1,1,0,1.0,2,25.0,0.929289245373901,108.9,1.661,
Zm00001eb003730,1,1,0,1.0,1,24.0,2.0534082174726525,12234.5,0.98,
Zm00001eb003740,2,0,2,0.0,0,22.5,,,,
Zm00001eb003760,4,3,1,0.75,5,16.5,0.7832878246482706,2063.0,1.797,
Zm00001eb003770,1,0,1,0.0,0,1.0,,,,
Zm00001eb003780,1,1,0,1.0,2,25.0,0.3987046903977469,990.8,-0.66,
Zm00001eb003810,3,1,2,0.3333333333333333,2,15.0,0.401041370293799,63.9,0.742,
Zm00001eb003820,1,0,1,0.0,0,7.0,0.4928217953898405,43.3,-0.105,
Zm00001eb003830,3,0,3,0.0,0,4.0,0.2288455118761904,1378.1,0.054,
Zm00001eb003840,3,0,3,0.0,0,10.333333333333334,0.1830078682995338,354.2,1.006,
Zm00001eb003850,3,0,3,0.0,0,9.333333333333334,0.2035881499237067,53.4,0.383,
Zm00001eb003860,3,1,2,0.3333333333333333,2,14.0,0.646240625180289,2.4,1.214,
Zm00001eb003870,2,0,2,0.0,0,5.0,,,,
Zm00001eb003880,1,1,0,1.0,2,25.0,0.2953319834843127,214.3,0.215,
Zm00001eb003890,3,1,2,0.3333333333333333,2,17.666666666666668,0.2813805589825603,113.0,0.242,
Zm00001eb003900,1,0,1,0.0,0,25.0,0.3543414842034855,29.1,0.26,
Zm00001eb003930,2,0,2,0.0,0,3.0,1.6889146644840531,67.5,0.685,
Zm00001eb003940,2,1,1,0.5,1,3.0,,,,
Zm00001eb003950,1,0,1,0.0,0,2.0,,,,
Zm00001eb003960,3,2,1,0.6666666666666666,4,21.0,1.2854491312258662,10.7,-1.625,
Zm00001eb003970,1,1,0,1.0,4,25.0,0.3668597900915962,106.0,1.188,
Zm00001eb004000,1,1,0,1.0,3,25.0,0.4762251134251668,17.0,-1.526,
Zm00001eb004020,1,0,1,0.0,0,2.0,0.7321324042678344,1.2,-0.766,
Zm00001eb004030,1,1,0,1.0,2,25.0,0.1786370788048006,494.7,0.422,
Zm00001eb004050,2,0,2,0.0,0,14.0,0.3415511453603051,1012.0,-0.913,
Zm00001eb004060,1,0,1,0.0,0,21.0,1.0836388367665788,70.5,0.85,
Zm00001eb004080,3,1,2,0.3333333333333333,1,9.666666666666666,,,,
Zm00001eb004090,2,1,1,0.5,1,13.0,0.235543535565709,478.8,1.039,
Zm00001eb004100,1,0,1,0.0,0,8.0,,,,
Zm00001eb004110,2,0,2,0.0,0,4.0,,,,
Zm00001eb004120,1,0,1,0.0,0,12.0,0.2292579546951614,288.9,0.794,
Zm00001eb004140,1,1,0,1.0,2,25.0,2.7451654464986452,73.0,1.738,
Zm00001eb004150,2,1,1,0.5,2,14.5,,1.7,0.737,
Zm00001eb004160,1,0,1,0.0,0,1.0,0.2095362990339704,179.5,1.401,
Zm00001eb004170,1,1,0,1.0,5,25.0,0.210594149406254,279.7,0.505,
Zm00001eb004180,1,1,0,1.0,1,25.0,0.6572924149199488,142.2,-0.521,
Zm00001eb004190,2,2,0,1.0,2,15.5,0.3352889542596527,118.6,0.173,
Zm00001eb004200,1,0,1,0.0,0,4.0,1.482285249145293,5.3,2.399,
Zm00001eb004210,3,0,3,0.0,0,9.0,0.2878069624035808,239.1,0.601,
Zm00001eb004240,3,0,3,0.0,0,9.0,0.1545603838509131,122.2,-0.34,
